algorithm,accuary,precision,recall,f1_score,confusion_matrix
Naive Bayes,83.99390243902441,[ 0.         84.03660397  0.        ],[ 0.         99.93954051  0.        ],[ 0.         91.30074565  0.        ],"[[   0  109    0]
 [   0 1653    1]
 [   0  205    0]]"
Maquina de Soporte Vectorial,86.9410569105691,[100.          87.06942236  83.5443038 ],[ 1.83486239 99.33494559 32.19512195],[ 3.6036036  92.79864445 46.47887324],"[[   2  105    2]
 [   0 1643   11]
 [   0  139   66]]"
Random Forest,83.23170731707317,[25.         89.13681738 53.43915344],[17.43119266 91.77750907 49.26829268],[20.54054054 90.43789097 51.26903553],"[[  19   84    6]
 [  54 1518   82]
 [   3  101  101]]"
Maximun Entropy,85.82317073170732,[100.          85.6402281   94.73684211],[ 0.91743119 99.87908102 17.56097561],[ 1.81818182 92.21322914 29.62962963],"[[   1  108    0]
 [   0 1652    2]
 [   0  169   36]]"
