algorithm,accuary,precision,recall,f1_score,confusion_matrix
Naive Bayes,62.8,[100.          61.72839506],[  7. 100.],[13.08411215 76.33587786],"[[  7  93]
 [  0 150]]"
Maquina de Soporte Vectorial,67.60000000000001,[67.27272727 67.69230769],[37. 88.],[47.74193548 76.52173913],"[[ 37  63]
 [ 18 132]]"
Random Forest,69.6,[60.34482759 77.6119403 ],[70.         69.33333333],[64.81481481 73.23943662],"[[ 70  30]
 [ 46 104]]"
Maximun Entropy,63.6,[100.         62.2406639],[  9. 100.],[16.51376147 76.72634271],"[[  9  91]
 [  0 150]]"
