algorithm,accuary,precision,recall,f1_score,confusion_matrix
Naive Bayes,83.18181818181817,[ 0.         83.18181818  0.        ],[  0. 100.   0.],[ 0.         90.81885856  0.        ],"[[  0  13   0]
 [  0 183   0]
 [  0  24   0]]"
Maquina de Soporte Vectorial,83.18181818181817,[ 0.         83.18181818  0.        ],[  0. 100.   0.],[ 0.         90.81885856  0.        ],"[[  0  13   0]
 [  0 183   0]
 [  0  24   0]]"
Random Forest,82.27272727272728,[30.         85.78431373 50.        ],[23.07692308 95.6284153  12.5       ],[26.08695652 90.43927649 20.        ],"[[  3  10   0]
 [  5 175   3]
 [  2  19   3]]"
Maximun Entropy,83.18181818181817,[ 0.         83.18181818  0.        ],[  0. 100.   0.],[ 0.         90.81885856  0.        ],"[[  0  13   0]
 [  0 183   0]
 [  0  24   0]]"
