tweet,tweet_tokenized
Me ha gustado un vídeo de @YouTube ( https://t.co/EkU8bSvBW7 - VPI TV EN VIVO - Venezolanos por la Información).,"['gustado', 'vídeo', 'youtube', 'vpi', 'tv', 'vivo', 'venezolanos', 'información']"
@SoloConVerte JAJAJA si va por lo menos esta mas accesible que el avila,"['soloconverte', 'jajaja', 'si', 'va', 'menos', 'mas', 'accesible', 'avila']"
@SoloConVerte JAJAJAJAJ no vale para nada,"['soloconverte', 'jajajajaj', 'vale']"
@SoloConVerte JAJAJA a mi me gusto,"['soloconverte', 'jajaja', 'gusto']"
@SoloConVerte Naaaa vamos de nuevo... Quien dijo miedo Jajaja &lt;3,"['soloconverte', 'naaaa', 'vamos', 'nuevo', 'dijo', 'miedo', 'jajaja', 'lt']"
Que noche...,['noche']
@SoloConVerte &lt;3,"['soloconverte', 'lt']"
@SoloConVerte Jajajaja así mismo hasta cocinero y todo,"['soloconverte', 'jajajaja', 'así', 'mismo', 'cocinero']"
@SoloConVerte Nooo bueno vamos abrir el gym pues jajaja,"['soloconverte', 'nooo', 'bueno', 'vamos', 'abrir', 'gym', 'pues', 'jajaja']"
@SoloConVerte Jajajaja y si no?,"['soloconverte', 'jajajaja', 'si']"
@SoloConVerte JAJAJAJAJJAJA rolo de propósito,"['soloconverte', 'jajajajajjaja', 'rolo', 'propósito']"
Como me enloquece...,['enloquece']
Agregué un video a una lista de reproducción de @YouTube  https://t.co/aHwLHqYDYk COMO REPARAR DIADEMA DE AUDIFONOS TIPO DJ,"['agregué', 'video', 'lista', 'reproducción', 'youtube', 'reparar', 'diadema', 'audifonos', 'tipo', 'dj']"
Siempre cagandola.,"['siempre', 'cagandola']"
No ganan una... Siempre sacan ventaja y parece que se drogaran en el entretiempo.,"['ganan', 'siempre', 'sacan', 'ventaja', 'parece', 'drogaran', 'entretiempo']"
@Real_TulioR ese es el problema esa gente que no es realista... Se hacen los gafos,"['real', 'tulior', 'problema', 'gente', 'realista', 'hacen', 'gafos']"
Sin prejuicios y sin un coño.,"['prejuicios', 'coño']"
Que depinga hablar con tanta sinceridad.,"['depinga', 'hablar', 'tanta', 'sinceridad']"
JAJAJAJAJAJA después de tanta vaina nosotros somos los que vamos a jugar.  https://t.co/C9RfvUgnM6,"['jajajajajaja', 'después', 'tanta', 'vaina', 'vamos', 'jugar']"
Coño e la madre hablen claro si si o si no estamos eliminados.,"['coño', 'madre', 'hablen', 'claro', 'si', 'si', 'si', 'eliminados']"
Nuevo avatar.,"['nuevo', 'avatar']"
Después de tanto tiempo...,"['después', 'tiempo']"
#NuevaFotoDePerfil  https://t.co/9IKgBJbUG0,['nuevafotodeperfil']
Que paridera el clásico mundial de béisbol...,"['paridera', 'clásico', 'mundial', 'béisbol']"
Aun no me lo creó,"['aun', 'creó']"
MALDITO PARTIDO.,"['maldito', 'partido']"
