algorithm,accuary,precision,recall,f1_score,confusion_matrix
Naive Bayes,72.39999999999998,[76.12903226 66.31578947],[78.66666667 63.        ],[77.37704918 64.61538462],"[[118  32]
 [ 37  63]]"
Maquina de Soporte Vectorial,76.8,[76.74418605 76.92307692],[88. 60.],[81.98757764 67.41573034],"[[132  18]
 [ 40  60]]"
Random Forest,78.8,[79.39393939 77.64705882],[87.33333333 66.        ],[83.17460317 71.35135135],"[[131  19]
 [ 34  66]]"
Maximun Entropy,72.0,[71.97802198 72.05882353],[87.33333333 49.        ],[78.91566265 58.33333333],"[[131  19]
 [ 51  49]]"
