algorithm,accuary,precision,recall,f1_score,confusion_matrix
Naive Bayes,81.81818181818183,[ 81.05263158 100.        ],[100.          18.18181818],[89.53488372 30.76923077],"[[154   0]
 [ 36   8]]"
Maquina de Soporte Vectorial,83.83838383838383,[85.46511628 73.07692308],[95.45454545 43.18181818],[90.18404908 54.28571429],"[[147   7]
 [ 25  19]]"
Random Forest,69.6969696969697,[80.12820513 30.95238095],[81.16883117 29.54545455],[80.64516129 30.23255814],"[[125  29]
 [ 31  13]]"
Maximun Entropy,81.81818181818183,[ 81.05263158 100.        ],[100.          18.18181818],[89.53488372 30.76923077],"[[154   0]
 [ 36   8]]"
