algorithm,accuary,precision,recall,f1_score,confusion_matrix
Naive Bayes,87.33333333333331,[ 0.         87.33333333  0.        ],[  0. 100.   0.],[ 0.         93.23843416  0.        ],"[[  0  16   0]
 [  0 262   0]
 [  0  22   0]]"
Maquina de Soporte Vectorial,97.33333333333334,[100.          97.03703704 100.        ],[ 68.75       100.          86.36363636],[81.48148148 98.4962406  92.68292683],"[[ 11   5   0]
 [  0 262   0]
 [  0   3  19]]"
Random Forest,100.0,[100. 100. 100.],[100. 100. 100.],[100. 100. 100.],"[[ 16   0   0]
 [  0 262   0]
 [  0   0  22]]"
Maximun Entropy,89.66666666666666,[  0.          89.41979522 100.        ],[  0.         100.          31.81818182],[ 0.         94.41441441 48.27586207],"[[  0  16   0]
 [  0 262   0]
 [  0  15   7]]"
