algorithm,accuary,precision,recall,f1_score,confusion_matrix
Naive Bayes,66.0,[75.34246575 62.14689266],[45.08196721 85.9375    ],[56.41025641 72.13114754],"[[ 55  67]
 [ 18 110]]"
Maquina de Soporte Vectorial,72.39999999999998,[68.53146853 77.57009346],[80.32786885 64.84375   ],[73.96226415 70.63829787],"[[98 24]
 [45 83]]"
Random Forest,73.2,[68.45637584 80.1980198 ],[83.60655738 63.28125   ],[75.27675277 70.74235808],"[[102  20]
 [ 47  81]]"
Maximun Entropy,68.8,[70.37037037 67.6056338 ],[62.29508197 75.        ],[66.08695652 71.11111111],"[[76 46]
 [32 96]]"
