algorithm,accuary,precision,recall,f1_score,confusion_matrix
Naive Bayes,72.8,[72.31404959 87.5       ],[99.43181818  9.45945946],[83.73205742 17.07317073],"[[175   1]
 [ 67   7]]"
Maquina de Soporte Vectorial,76.4,[75.54585153 85.71428571],[98.29545455 24.32432432],[85.43209877 37.89473684],"[[173   3]
 [ 56  18]]"
Random Forest,74.8,[80.87431694 58.20895522],[84.09090909 52.7027027 ],[82.45125348 55.31914894],"[[148  28]
 [ 35  39]]"
Maximun Entropy,70.39999999999999,[70.56451613 50.        ],[99.43181818  1.35135135],[82.54716981  2.63157895],"[[175   1]
 [ 73   1]]"
